restaurant_url,weekday,hour_24,hour_label,index,value,busyness_percent
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Tuesday,21,9 PM,53,14% busy at 9 PM.,14
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Tuesday,22,10 PM,54,9% busy at 10 PM.,9
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Tuesday,23,11 PM,55,14% busy at 11 PM.,14
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Tuesday,0,12 AM,56,28% busy at 12 AM.,28
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Tuesday,6,6 AM,57,0% busy at 6 AM.,0
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Tuesday,7,7 AM,58,0% busy at 7 AM.,0
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Tuesday,8,8 AM,59,0% busy at 8 AM.,0
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Wednesday,9,9 AM,60,0% busy at 9 AM.,0
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Wednesday,10,10 AM,61,28% busy at 10 AM.,28
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Wednesday,11,11 AM,62,33% busy at 11 AM.,33
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Wednesday,12,12 PM,63,28% busy at 12 PM.,28
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Wednesday,13,1 PM,64,33% busy at 1 PM.,33
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Wednesday,14,2 PM,65,33% busy at 2 PM.,33
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Wednesday,15,3 PM,66,52% busy at 3 PM.,52
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Wednesday,16,4 PM,67,57% busy at 4 PM.,57
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Wednesday,17,5 PM,68,76% busy at 5 PM.,76
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Wednesday,18,6 PM,69,61% busy at 6 PM.,61
