scrape_timestamp,restaurant_url,element_index,hour_24,display_hour,hour_12,meridiem,hour_label,busyness_percent,raw_aria_label,is_target_hour,target_weekday,target_hour,detected_cycle,cycle_hours_count,cycle_start_hour,cycle_end_hour,assigned_weekday,day_offset,is_today_cycle,is_target_cycle,selected_as_target
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,29,15,15,3,PM,3 PM,23,23% busy at 3 PM.,False,Monday,2,1,19,6,24,Tuesday,1,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,30,16,16,4,PM,4 PM,14,14% busy at 4 PM.,False,Monday,2,1,19,6,24,Tuesday,1,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,31,17,17,5,PM,5 PM,14,14% busy at 5 PM.,False,Monday,2,1,19,6,24,Tuesday,1,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,32,18,18,6,PM,6 PM,23,23% busy at 6 PM.,False,Monday,2,1,19,6,24,Tuesday,1,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,33,19,19,7,PM,7 PM,19,19% busy at 7 PM.,False,Monday,2,1,19,6,24,Tuesday,1,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,34,20,20,8,PM,8 PM,33,33% busy at 8 PM.,False,Monday,2,1,19,6,24,Tuesday,1,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,35,21,21,9,PM,9 PM,38,38% busy at 9 PM.,False,Monday,2,1,19,6,24,Tuesday,1,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,36,22,22,10,PM,10 PM,47,47% busy at 10 PM.,False,Monday,2,1,19,6,24,Tuesday,1,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,37,23,23,11,PM,11 PM,52,52% busy at 11 PM.,False,Monday,2,1,19,6,24,Tuesday,1,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,38,0,24,12,AM,12 AM,38,38% busy at 12 AM.,False,Monday,2,1,19,6,24,Tuesday,1,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,39,6,6,6,AM,6 AM,0,0% busy at 6 AM.,False,Monday,2,2,19,6,24,Wednesday,2,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,40,7,7,7,AM,7 AM,0,0% busy at 7 AM.,False,Monday,2,2,19,6,24,Wednesday,2,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,41,8,8,8,AM,8 AM,0,0% busy at 8 AM.,False,Monday,2,2,19,6,24,Wednesday,2,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,42,9,9,9,AM,9 AM,0,0% busy at 9 AM.,False,Monday,2,2,19,6,24,Wednesday,2,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,43,10,10,10,AM,10 AM,33,33% busy at 10 AM.,False,Monday,2,2,19,6,24,Wednesday,2,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,44,11,11,11,AM,11 AM,19,19% busy at 11 AM.,False,Monday,2,2,19,6,24,Wednesday,2,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,45,12,12,12,PM,12 PM,19,19% busy at 12 PM.,False,Monday,2,2,19,6,24,Wednesday,2,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,46,13,13,1,PM,1 PM,19,19% busy at 1 PM.,False,Monday,2,2,19,6,24,Wednesday,2,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,47,14,14,2,PM,2 PM,19,19% busy at 2 PM.,False,Monday,2,2,19,6,24,Wednesday,2,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,48,15,15,3,PM,3 PM,23,23% busy at 3 PM.,False,Monday,2,2,19,6,24,Wednesday,2,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,49,16,16,4,PM,4 PM,38,38% busy at 4 PM.,False,Monday,2,2,19,6,24,Wednesday,2,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,50,17,17,5,PM,5 PM,66,66% busy at 5 PM.,False,Monday,2,2,19,6,24,Wednesday,2,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,51,18,18,6,PM,6 PM,52,52% busy at 6 PM.,False,Monday,2,2,19,6,24,Wednesday,2,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,52,19,19,7,PM,7 PM,47,47% busy at 7 PM.,False,Monday,2,2,19,6,24,Wednesday,2,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,53,20,20,8,PM,8 PM,28,28% busy at 8 PM.,False,Monday,2,2,19,6,24,Wednesday,2,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,54,21,21,9,PM,9 PM,14,14% busy at 9 PM.,False,Monday,2,2,19,6,24,Wednesday,2,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,55,22,22,10,PM,10 PM,9,9% busy at 10 PM.,False,Monday,2,2,19,6,24,Wednesday,2,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,56,23,23,11,PM,11 PM,14,14% busy at 11 PM.,False,Monday,2,2,19,6,24,Wednesday,2,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,57,0,24,12,AM,12 AM,28,28% busy at 12 AM.,False,Monday,2,2,19,6,24,Wednesday,2,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,58,6,6,6,AM,6 AM,0,0% busy at 6 AM.,False,Monday,2,3,19,6,24,Thursday,3,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,59,7,7,7,AM,7 AM,0,0% busy at 7 AM.,False,Monday,2,3,19,6,24,Thursday,3,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,60,8,8,8,AM,8 AM,0,0% busy at 8 AM.,False,Monday,2,3,19,6,24,Thursday,3,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,61,9,9,9,AM,9 AM,0,0% busy at 9 AM.,False,Monday,2,3,19,6,24,Thursday,3,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,62,10,10,10,AM,10 AM,28,28% busy at 10 AM.,False,Monday,2,3,19,6,24,Thursday,3,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,63,11,11,11,AM,11 AM,33,33% busy at 11 AM.,False,Monday,2,3,19,6,24,Thursday,3,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,64,12,12,12,PM,12 PM,28,28% busy at 12 PM.,False,Monday,2,3,19,6,24,Thursday,3,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,65,13,13,1,PM,1 PM,33,33% busy at 1 PM.,False,Monday,2,3,19,6,24,Thursday,3,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,66,14,14,2,PM,2 PM,33,33% busy at 2 PM.,False,Monday,2,3,19,6,24,Thursday,3,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,67,15,15,3,PM,3 PM,52,52% busy at 3 PM.,False,Monday,2,3,19,6,24,Thursday,3,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,68,16,16,4,PM,4 PM,57,57% busy at 4 PM.,False,Monday,2,3,19,6,24,Thursday,3,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,69,17,17,5,PM,5 PM,76,76% busy at 5 PM.,False,Monday,2,3,19,6,24,Thursday,3,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,70,18,18,6,PM,6 PM,61,61% busy at 6 PM.,False,Monday,2,3,19,6,24,Thursday,3,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,71,19,19,7,PM,7 PM,57,57% busy at 7 PM.,False,Monday,2,3,19,6,24,Thursday,3,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,72,20,20,8,PM,8 PM,42,42% busy at 8 PM.,False,Monday,2,3,19,6,24,Thursday,3,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,73,21,21,9,PM,9 PM,52,52% busy at 9 PM.,False,Monday,2,3,19,6,24,Thursday,3,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,74,22,22,10,PM,10 PM,33,33% busy at 10 PM.,False,Monday,2,3,19,6,24,Thursday,3,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,75,23,23,11,PM,11 PM,42,42% busy at 11 PM.,False,Monday,2,3,19,6,24,Thursday,3,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,76,0,24,12,AM,12 AM,33,33% busy at 12 AM.,False,Monday,2,3,19,6,24,Thursday,3,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,77,6,6,6,AM,6 AM,0,0% busy at 6 AM.,False,Monday,2,4,19,6,24,Friday,4,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,78,7,7,7,AM,7 AM,0,0% busy at 7 AM.,False,Monday,2,4,19,6,24,Friday,4,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,79,8,8,8,AM,8 AM,0,0% busy at 8 AM.,False,Monday,2,4,19,6,24,Friday,4,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,80,9,9,9,AM,9 AM,0,0% busy at 9 AM.,False,Monday,2,4,19,6,24,Friday,4,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,81,10,10,10,AM,10 AM,38,38% busy at 10 AM.,False,Monday,2,4,19,6,24,Friday,4,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,82,11,11,11,AM,11 AM,23,23% busy at 11 AM.,False,Monday,2,4,19,6,24,Friday,4,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,83,12,12,12,PM,12 PM,14,14% busy at 12 PM.,False,Monday,2,4,19,6,24,Friday,4,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,84,13,13,1,PM,1 PM,9,9% busy at 1 PM.,False,Monday,2,4,19,6,24,Friday,4,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,85,14,14,2,PM,2 PM,23,23% busy at 2 PM.,False,Monday,2,4,19,6,24,Friday,4,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,86,15,15,3,PM,3 PM,28,28% busy at 3 PM.,False,Monday,2,4,19,6,24,Friday,4,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,87,16,16,4,PM,4 PM,14,14% busy at 4 PM.,False,Monday,2,4,19,6,24,Friday,4,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,88,17,17,5,PM,5 PM,14,14% busy at 5 PM.,False,Monday,2,4,19,6,24,Friday,4,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,89,18,18,6,PM,6 PM,14,14% busy at 6 PM.,False,Monday,2,4,19,6,24,Friday,4,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,90,19,19,7,PM,7 PM,23,23% busy at 7 PM.,False,Monday,2,4,19,6,24,Friday,4,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,91,20,20,8,PM,8 PM,23,23% busy at 8 PM.,False,Monday,2,4,19,6,24,Friday,4,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,92,21,21,9,PM,9 PM,28,28% busy at 9 PM.,False,Monday,2,4,19,6,24,Friday,4,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,93,22,22,10,PM,10 PM,28,28% busy at 10 PM.,False,Monday,2,4,19,6,24,Friday,4,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,94,23,23,11,PM,11 PM,33,33% busy at 11 PM.,False,Monday,2,4,19,6,24,Friday,4,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,95,0,24,12,AM,12 AM,47,47% busy at 12 AM.,False,Monday,2,4,19,6,24,Friday,4,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,96,6,6,6,AM,6 AM,0,0% busy at 6 AM.,False,Monday,2,5,20,1,24,Saturday,5,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,97,7,7,7,AM,7 AM,0,0% busy at 7 AM.,False,Monday,2,5,20,1,24,Saturday,5,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,98,8,8,8,AM,8 AM,0,0% busy at 8 AM.,False,Monday,2,5,20,1,24,Saturday,5,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,99,9,9,9,AM,9 AM,0,0% busy at 9 AM.,False,Monday,2,5,20,1,24,Saturday,5,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,100,10,10,10,AM,10 AM,42,42% busy at 10 AM.,False,Monday,2,5,20,1,24,Saturday,5,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,101,11,11,11,AM,11 AM,61,61% busy at 11 AM.,False,Monday,2,5,20,1,24,Saturday,5,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,102,12,12,12,PM,12 PM,52,52% busy at 12 PM.,False,Monday,2,5,20,1,24,Saturday,5,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,103,13,13,1,PM,1 PM,57,57% busy at 1 PM.,False,Monday,2,5,20,1,24,Saturday,5,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,104,14,14,2,PM,2 PM,66,66% busy at 2 PM.,False,Monday,2,5,20,1,24,Saturday,5,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,105,15,15,3,PM,3 PM,61,61% busy at 3 PM.,False,Monday,2,5,20,1,24,Saturday,5,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,106,16,16,4,PM,4 PM,52,52% busy at 4 PM.,False,Monday,2,5,20,1,24,Saturday,5,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,107,17,17,5,PM,5 PM,52,52% busy at 5 PM.,False,Monday,2,5,20,1,24,Saturday,5,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,108,18,18,6,PM,6 PM,52,52% busy at 6 PM.,False,Monday,2,5,20,1,24,Saturday,5,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,109,19,19,7,PM,7 PM,57,57% busy at 7 PM.,False,Monday,2,5,20,1,24,Saturday,5,False,,
2025-06-23T02:00:30.010879-04:00,https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,110,20,20,8,PM,8 PM,52,52% busy at 8 PM.,False,Monday,2,5,20,1,24,Saturday,5,False,,
